,out_channels,kernel_size,stride,pool_kernel,train_loss,test_loss
101,6,76,16,16,0.022662619019743188,0.022006859662018242
102,8,48,1,2,0.08332404211961204,0.08341666604710085
103,8,48,1,4,0.02499314034513402,0.024892046764343687
104,8,48,1,8,0.005596738144020639,0.005506095396192311
105,8,48,1,16,0.0073068679747521,0.007225516231894832
106,8,48,2,2,0.02221143921345946,0.021990807702891354
107,8,48,2,4,0.008329305869052032,0.008184434205029113
108,8,48,2,8,0.006953120992585358,0.006717467595073854
109,8,48,2,16,0.005742780626685198,0.005586824320960027
110,8,48,4,4,0.011235668007029676,0.011111721910185083
111,8,48,4,8,0.008020787162311338,0.007730520801932024
112,8,48,4,16,0.007819272141637095,0.007456779822122055
113,8,48,16,16,0.03377180046134519,0.03309693260315231
114,8,64,1,2,0.08331517622723852,0.08341544366575689
115,8,64,1,4,0.08323028952121084,0.08322263431401987
116,8,64,1,8,0.00570970616858262,0.005533916313565697
117,8,64,1,16,0.0058842287034673,0.005846361848993966
118,8,64,2,2,0.007303613825208318,0.007118983134081211
119,8,64,2,4,0.005486834621175061,0.0054180649767688795
120,8,64,2,8,0.005941173263974068,0.005898418710270226
121,8,64,2,16,0.005726633267578159,0.005659212409869111
122,8,64,4,4,0.006300417339074469,0.006256559287857272
123,8,64,4,8,0.007329126110075857,0.007090956519508319
124,8,64,4,16,0.00798732471157489,0.007583902883812098
125,8,64,16,16,0.03635114350704279,0.03617119880744368
126,8,76,1,2,0.12027476255940471,0.12075819936486133
127,8,76,1,4,0.005085257187977872,0.005034546433988922
128,8,76,1,8,0.006143667811037731,0.005984205986455684
129,8,76,1,16,0.0062992093318120345,0.0062278209402248565
130,8,76,2,2,0.08332636355104893,0.08341666614829786
131,8,76,2,4,0.005595502100106821,0.005349078609379888
132,8,76,2,8,0.005674971741447287,0.005638809668273431
133,8,76,2,16,0.008490956185612707,0.008353142345346403
134,8,76,4,16,0.009254546207919436,0.009012848973617019
135,8,76,16,16,0.038109249613728635,0.03800853846931096
136,12,48,1,2,0.08321929556782207,0.08331678925462682
137,12,48,1,4,0.00668983813491428,0.006419131953414266
138,12,48,1,8,0.005095446623500786,0.005044591276740367
139,12,48,1,16,0.007947799518115323,0.007861671520985263
140,12,48,2,2,0.009641849144470423,0.009458265705106416
141,12,48,2,4,0.005356153309316682,0.005376876384158525
142,12,48,2,8,0.005369561433469765,0.005217393479654985
143,12,48,2,16,0.007214924039013082,0.006980181838309648
144,12,48,4,4,0.007390782726988905,0.007229803308746157
145,12,48,4,8,0.006911739518750824,0.00681019048860976
146,12,48,4,16,0.008013494104096432,0.007826880122381025
147,12,48,16,16,0.03227931482978182,0.03169852167937763
148,12,64,1,2,0.08332407407407372,0.08341666666666667
149,12,64,1,4,0.06495652962686617,0.0650413397389505
150,12,64,1,8,0.00582830515740219,0.005560759195034984
151,12,64,1,16,0.008709826652774349,0.008449496462731262
152,12,64,2,2,0.08332394999381496,0.08341656202348237
153,12,64,2,4,0.0057269815340207555,0.005675722353851255
154,12,64,2,8,0.005020494837687004,0.005009600828660808
155,12,64,2,16,0.005767946431107628,0.005657438584631384
156,12,64,4,4,0.00668552703610752,0.006720303257147493
157,12,64,4,8,0.005327542952019568,0.0051407969129662135
158,12,64,4,16,0.008464470250878165,0.008125947546881868
159,12,64,16,16,0.0371427711843073,0.03702237646095232
160,12,76,1,2,0.08724261941547164,0.08762067320999053
161,12,76,1,4,0.006654920673223945,0.006579245990367266
162,12,76,1,8,0.07829505272424402,0.07822101304396507
163,12,76,1,16,0.02192537969883086,0.021957399329722724
164,12,76,2,2,0.08342325811364261,0.08341606982922714
165,12,76,2,4,0.006062512578689377,0.005877222976917302
166,12,76,2,8,0.005404745824801856,0.005473694348062611
167,12,76,2,16,0.006732882282620199,0.006620033579613245
168,12,76,4,16,0.006326215026230304,0.006323149144047448
169,12,76,16,16,0.028065959508848826,0.02766041424224481
